#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Тип дома	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
995	ул. Пионерская, д. 77, к. А, Биробиджан	2011	Есть	Нет	80	B	4	5	5	58	3 459.90	601.60	607.30	1 306.40	120.00	114с	Не имеется	На счете регионального оператора	Многоквартирный дом	2	Приточно-вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное	Каменные, кирпичные	1 020.00	Скатная	Отсутствует	Железобетонные	Облицованный плиткой	Свайный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
996	р-н. Смидовичский, с. им Тельмана, ул. Театральная, д. 3	1959	Не имеется	Нет	8	Не присвоен	1	2	1	540.30	46.80	0.00	4 602.00	0.00	деревянный	Не имеется	На счете регионального оператора	Многоквартирный дом	0.00	Вытяжная вентиляция	Автономное	Наружные водостоки	Отсутствует	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Деревянные	0.00	Скатная	Отсутствует	Деревянные	Соответствует материалу стен	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
997	ул. 40 лет Победы, д. 2, к. 1, Биробиджан	2012	Есть	Нет	30	3	5	5	2 251.00	0.00	713.60	4 032.00	типовой	Есть	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	490.80	Скатная	Отсутствует	Железобетонные	Оштукатуренный	Свайный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
998	ул. 40 лет Победы, д. 2, к. 2, Биробиджан	2012	Есть	Нет	69	4	5	5	3 610.90	0.00	1 083.30	4 032.00	типовой	Есть	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	762.30	Скатная	Отсутствует	Железобетонные	Оштукатуренный	Свайный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
999	ул. 40 лет Победы, д. 2, к. 3, Биробиджан	2007	Есть	Нет	30	Не присвоен	2	5	5	1 607.10	0.00	506.00	2 039.00	506.00	типовой	Есть	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	360.30	Скатная	Отсутствует	Железобетонные	Оштукатуренный	Свайный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
1000	ул. Бумагина, д. 13, Биробиджан	1977	Есть	Нет	60	4	5	5	2 659.50	0.00	820.30	3 156.00	936.00	типовой	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Панельные	530.20	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Свайный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
1001	ул. Бумагина, д. 19, к. 1, Биробиджан	2007	Есть	Нет	62	4	5	5	8	3 361.20	885.10	429.30	2 948.00	типовой	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Железобетонные	Облицованный плиткой	Бетонные столбы
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
1002	ул. Бумагина, д. 6в, Биробиджан	1992	Есть	Нет	32	3	4	4	1 756.50	0.00	617.50	2 860.00	типовой	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	471.00	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Свайный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
1003	ул. Дзержинского, д. 12, Биробиджан	1981	Есть	Нет	48	5	5	5	1	2 756.40	1 048.70	1 263.00	4 227.00	типовой	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Внутренние водостоки	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	909.90	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен	Свайный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
1004	ул. Дзержинского, д. 13, Биробиджан	2010	Есть	Нет	Земельный участок под многоквартирный дом не сформирован.	74	Не присвоен	5	6	6	2	4 136.70	926.80	419.80	типовой	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Железобетонные	Облицованный плиткой	Свайный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
1005	ул. Дзержинского, д. 20, Биробиджан	2006	Не имеется	Нет	30	3	5	5	3	1 967.20	620.10	217.50	2 284.00	типовой	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Железобетонные	Облицованный плиткой	Свайный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
1006	ул. Дзержинского, д. 20б, Биробиджан	2011	Не имеется	Нет	Земельный участок дома не сформирован	36	3	5	1	6	2 147.10	812.80	348.30	типовой	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Отсутствует	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Железобетонные	Облицованный плиткой	Свайный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
1007	ул. Миллера, д. 16, к. 1, Биробиджан	2008	Не имеется	Нет	Земельный участок под многоквартирным домом не сформирован.	44	3	6	6	1	2 528.10	584.20	266.30	типовой	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Железобетонные	Облицованный плиткой	Свайный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
1008	ул. Димитрова, д. 3., Биробиджан	1967	Есть	Нет	64	4	5	5	2	2 552.00	722.10	195.20	3 105.00	типовой	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Отсутствует	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	883.00	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Свайный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
1009	ул. Димитрова, д. 14., Биробиджан	1964	Есть	Нет	48	3	5	5	3	2 037.60	514.40	182.90	2 180.00	типовой	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Отсутствует	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Свайный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фундамент
1010	ул. Калинина, д. 15., Биробиджан	1962	Не имеется	Нет	27	2	4	4	3	979.40	213.80	96.30	2 572.00	типовой	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Отсутствует	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Железобетонные	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
1011	ул. Калинина, д. 65., Биробиджан	1986	Есть	Нет	85	6	5	5	4 173.80	0.00	1 414.00	3 543.00	типовой	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Внутренние водостоки	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	959.90	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен	Свайный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
1012	ул. Комсомольская, д. 4а, Биробиджан	1995	Не имеется	Нет	20	2	5	5	1 656.10	0.00	511.50	1 000.00	типовой	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	345.30	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Свайный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
1013	ул. Ленина, д. 38, Биробиджан	1951	Не имеется	Нет	17	3	3	3	1	1 370.60	76.80	157.00	2 227.00	0.00	типовой	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Отсутствует	Отсутствует	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Железобетонные	Оштукатуренный	Свайный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
1014	ул. Ленина, д. 42, Биробиджан	1996	Есть	Нет	64	4	5	5	3 695.70	0.00	1 218.10	3 565.00	типовой	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Отсутствует	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	794.70	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Свайный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
1015	ул. Ленина, д. 44, Биробиджан	1978	Есть	Нет	56	5	5	5	2	2 525.90	655.40	982.50	3 740.00	0.00	типовой	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	656.70	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Свайный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
1016	ул. Лесная, д. 7, Биробиджан	2009	Не имеется	Нет	48	4	5	5	1	2 756.60	738.00	351.50	1 846.00	типовой	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Внутренние водостоки	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Плоская	Отсутствует	Железобетонные	Облицованный плиткой	Свайный
