#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1	ул. Герцена, д. 104, к. А, Майкоп	1968	Нет	Не присвоен	1	2	367.20	0.00	873.00	типовой	Многоквартирный дом	1	Центральное	Центральное	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
2	ул. Депутатская, д. 6, Майкоп	1969	Есть	Нет	120	Не присвоен	8	5	5	6 131.00	0.00	484.00	7 979.00	0.00	515	Не имеется	На счете регионального оператора	Многоквартирный дом	2	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Панельные	1 284.00	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
3	ул. Димитрова, д. 9, Майкоп	1969	Не имеется	Нет	70	Не присвоен	4	5	5	2 641.00	0.00	273.40	3 281.00	0.00	511	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	616.00	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
957	ул. Школьная, д. 9, Цветочный	1980	Нет	Не присвоен	1	2	183.10	0.00	170.00	типовой	Многоквартирный дом	1	Центральное	Центральное	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
958	ул. Шоссейная, д. 10, Цветочный	1980	Нет	Не присвоен	1	2	179.70	0.00	175.00	типовой	Многоквартирный дом	1	Центральное	Центральное	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
959	ул. Гагарина, д. 125, Яблоновский	1974	Нет	Не присвоен	2	2	673.00	206.00	640.00	кирпич	Многоквартирный дом	1	Центральное	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Монолитные	250.00	Железобетонные
#	Адрес	Дом признан аварийным	Газоснабжение
960	ул. Космическая, д. 41, к. 1, Яблоновский	Нет	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Тип дома	Несущие стены	Перекрытия
961	р-н. Тахтамукайский, х. Новый Сад, ул. Дружбы, д. 3	1971	Нет	1	1	95.00	5.00	Многоквартирный дом	Деревянные	Деревянные
#	Адрес	Дом признан аварийным	Газоснабжение
962	р-н. Тахтамукайский, х. Новый Сад, ул. Дружбы, д. 11	Нет	Автономное
#	Адрес	Дом признан аварийным	Газоснабжение
963	р-н. Тахтамукайский, х. Новый Сад, ул. Дружбы, д. 12	Нет	Автономное
#	Адрес	Дом признан аварийным	Газоснабжение
964	р-н. Тахтамукайский, х. Новый Сад, ул. Дружбы, д. 13	Нет	Автономное
#	Адрес	Дом признан аварийным	Газоснабжение
965	р-н. Тахтамукайский, х. Новый Сад, ул. Дружбы, д. 14	Нет	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Несущие стены	Перекрытия
966	р-н. Тахтамукайский, х. Новый Сад, ул. Дружбы, д. 21	1979	Нет	1	1	92.00	Многоквартирный дом	Каменные, кирпичные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Несущие стены	Перекрытия
967	р-н. Тахтамукайский, х. Новый Сад, ул. Дружбы, д. 23	1970	Нет	1	1	92.00	Многоквартирный дом	Деревянные	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь помещений общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
968	"ул. Дорожная, д. 3, стр. ""Б"", Яблоновский"	1966	Нет	2	2	698.80	142.40	кирпич	Многоквартирный дом	1	Центральное	Центральное	Центральное	Центральное	Центральное	Каменные, кирпичные	377.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фундамент
969	ул. Дорожная, д. 61, Яблоновский	1978	Не имеется	Нет	60	Не присвоен	4	5	1	2 829.00	0.00	439.00	1 024.00	0.00	кирпич	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	639.40	Скатная	Отсутствует	Железобетонные	Бетонные столбы
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
970	ул. Дорожная, д. 63, Яблоновский	1980	Нет	Не присвоен	4	5	2 934.00	299.00	1 024.00	кирпич	Многоквартирный дом	1	Центральное	Центральное	Центральное	Центральное	Центральное	Монолитные	647.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
971	ул. Дорожная, д. 214, Яблоновский	1993	Нет	Не присвоен	7	5	4 544.00	456.00	1 024.00	кирпич	Многоквартирный дом	1	Центральное	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Монолитные	1 000.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
972	ул. Дорожная, д. 216, Яблоновский	1991	Нет	Не присвоен	7	5	2 315.70	230.00	1 074.00	кирпич	Многоквартирный дом	1	Центральное	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Каменные, кирпичные	509.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
973	ул. Заводская, д. 14, Яблоновский	1965	Нет	Не присвоен	2	2	918.00	73.00	640.00	кирпич	Многоквартирный дом	1	Центральное	Центральное	Центральное	Центральное	Центральное	Монолитные	496.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
974	ул. Заводская, д. 17, Яблоновский	1962	Да	Не присвоен	1	2	933.00	23.00	512.00	кирпич	Многоквартирный дом	1	Центральное	Центральное	Центральное	Центральное	Центральное	Каменные, кирпичные	478.00	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
975	ул. Заводская, д. 19, Яблоновский	1933	Да	Не присвоен	2	2	1 550.00	131.00	594.00	кирпич	Многоквартирный дом	1	Центральное	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Каменные, кирпичные	841.00	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
976	ул. Заводская, д. 23, Яблоновский	1960	Да	Не присвоен	2	2	913.40	168.00	610.00	кирпич	Многоквартирный дом	1	Центральное	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Каменные, кирпичные	457.00	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
977	ул. Заводская, д. 32, Яблоновский	1960	Нет	Не присвоен	2	2	639.30	71.00	500.00	кирпич	Многоквартирный дом	1	Центральное	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Каменные, кирпичные	355.00	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь помещений общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
978	ул. Заводская, д. 34, Яблоновский	1964	Нет	Не присвоен	3	4	2 054.00	778.60	кирпич	Многоквартирный дом	1	Центральное	Центральное	Центральное	Центральное	Центральное	Каменные, кирпичные	546.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
979	ул. Заводская, д. 36, к. 1, Яблоновский	1974	Нет	2	5	1 300.80	299.00	Многоквартирный дом	1	Центральное	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Каменные, кирпичные	320.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
980	ул. Космическая, д. 29, Яблоновский	1991	Нет	Не присвоен	3	5	1 382.90	361.00	721.60	1 074.00	кирпич	Многоквартирный дом	2	Центральное	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Монолитные	820.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
981	ул. Калинина, д. 2, Яблоновский	1974	Нет	Не присвоен	3	2	979.70	784.70	500.00	кирпич	Многоквартирный дом	1	Центральное	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Монолитные	500.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
982	ул. Калинина, д. 4, Яблоновский	1975	Нет	Не присвоен	3	2	728.70	798.20	596.00	кирпич	Многоквартирный дом	1	Центральное	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Монолитные	400.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
983	ул. Калинина, д. 6, Яблоновский	1975	Нет	Не присвоен	3	2	707.60	657.48	610.00	кирпич	Многоквартирный дом	1	Центральное	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Каменные, кирпичные	400.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
984	ул. Пушкина, д. 17, Яблоновский	1990	Есть	Нет	Не присвоен	3	5	2 150.00	248.00	1 000.00	блочн	Многоквартирный дом	1	Центральное	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Монолитные	480.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
985	ул. Пушкина, д. 19, Яблоновский	1989	Есть	Нет	40	Не присвоен	3	5	2 139.00	242.00	1 024.00	кирпич	Многоквартирный дом	2	Центральное	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Монолитные	476.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
986	ул. Пушкина, д. 39, Яблоновский	1967	Нет	Не присвоен	2	2	647.00	51.00	640.00	блочн	Многоквартирный дом	1	Центральное	Центральное	Центральное	Центральное	Центральное	Монолитные	354.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Перекрытия	Фасад	Фундамент
987	ул. Энгельса, д. 14, Яблоновский	1972	Нет	Не присвоен	3	3	1 543.00	102.00	840.00	кирпич	Многоквартирный дом	1	Приточная вентиляция	Центральное	Отсутствует	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Монолитные	548.00	Скатная	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
988	ул. Энгельса, д. 16, Яблоновский	1973	Нет	Не присвоен	3	3	1 496.00	107.00	840.00	кирпич	Многоквартирный дом	1	Центральное	Центральное	Центральное	Центральное	Центральное	Монолитные	535.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
989	ул. Энгельса, д. 24, Яблоновский	1984	Не имеется	Нет	60	Не присвоен	4	5	2 846.00	255.00	1 024.00	кирпич	Не имеется	Не определен	Многоквартирный дом	1	Центральное	Центральное	Центральное	Центральное	Центральное	Монолитные	620.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
990	ул. Карла Маркса, д. 12/1, Яблоновский	1976	Есть	Нет	24	2	3	3	1 149.00	75.00	кирпич	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	1	Приточная вентиляция	Центральное	Отсутствует	Центральное	Квартирное (квартирный котел)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	404.00	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
991	ул. Карла Маркса, д. 14/1, Яблоновский	1976	Нет	Не присвоен	2	3	1 149.00	75.00	640.00	кирпич	Многоквартирный дом	1	Центральное	Центральное	Центральное	Центральное	Центральное	Монолитные	404.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
992	ул. Андрухаева, д. 53, Яблоновский	1961	Да	Не присвоен	1	3	563.00	34.00	840.00	кирпич	Многоквартирный дом	1	Центральное	Центральное	Центральное	Центральное	Центральное	Каменные, кирпичные	199.00	Деревянные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь помещений общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Количество мусоропроводов, ед.	Несущие стены	Площадь подвала, кв.м	Перекрытия
993	"ул. Андрухаева, д. 59, к. ""А"", Яблоновский"	1979	Нет	2	1	458.50	96.20	Многоквартирный дом	1	Центральное	Центральное	Центральное	Центральное	Центральное	1	Каменные, кирпичные	515.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
994	ул. Кочубея, д. 7, Яблоновский	1991	Нет	Не присвоен	6	5	3 831.00	388.00	1 074.00	кирпич	Многоквартирный дом	1	Центральное	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Монолитные	844.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
995	ул. Кочубея, д. 12, Яблоновский	1973	Нет	Не присвоен	3	2	784.00	1 038.70	620.00	кирпич	Многоквартирный дом	1	Центральное	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Монолитные	400.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
996	ул. Лаухина, д. 5, Яблоновский	1986	Нет	Не присвоен	3	5	2 051.40	798.60	1 024.00	кирпич	Многоквартирный дом	2	Центральное	Центральное	Центральное (открытая система)	Центральное	Центральное	Монолитные	820.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
997	ул. Лаухина, д. 7, Яблоновский	1992	Нет	Не присвоен	4	5	2 649.00	80.00	1 024.00	кирпич	Многоквартирный дом	1	Центральное	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Монолитные	546.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
